Com.Code;Item;Unit;Com.Group;Cattle
c001;Rice (Milled Equivalent);tonnes;Cereals;FALSE
c002;Wheat and products;tonnes;Cereals;FALSE
c003;Barley and products;tonnes;Cereals;FALSE
c004;Maize and products;tonnes;Cereals;FALSE
c005;Rye and products;tonnes;Cereals;FALSE
c006;Oats;tonnes;Cereals;FALSE
c007;Millet and products;tonnes;Cereals;FALSE
c008;Sorghum and products;tonnes;Cereals;FALSE
c009;Cereals, Other;tonnes;Cereals;FALSE
c010;Potatoes and products;tonnes;Roots and tubers;FALSE
c011;Cassava and products;tonnes;Roots and tubers;FALSE
c012;Sweet potatoes;tonnes;Roots and tubers;FALSE
c013;Roots, Other;tonnes;Roots and tubers;FALSE
c014;Yams;tonnes;Roots and tubers;FALSE
c015;Sugar cane;tonnes;Sugar crops;FALSE
c016;Sugar beet;tonnes;Sugar crops;FALSE
c017;Beans;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c018;Peas;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c019;Pulses, Other and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c020;Nuts and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c021;Soyabeans;tonnes;Oil crops;FALSE
c022;Groundnuts (Shelled Eq);tonnes;Oil crops;FALSE
c023;Sunflower seed;tonnes;Oil crops;FALSE
c024;Rape and Mustardseed;tonnes;Oil crops;FALSE
c025;Seed cotton;tonnes;Oil crops;FALSE
c026;Coconuts - Incl Copra;tonnes;Oil crops;FALSE
c027;Sesame seed;tonnes;Oil crops;FALSE
c028;Oil, palm fruit;tonnes;Oil crops;FALSE
c029;Olives (including preserved);tonnes;Oil crops;FALSE
c030;Oilcrops, Other;tonnes;Oil crops;FALSE
c031;Tomatoes and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c032;Onions;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c033;Vegetables, Other;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c034;Oranges, Mandarines;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c035;Lemons, Limes and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c036;Grapefruit and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c037;Citrus, Other;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c038;Bananas;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c039;Plantains;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c040;Apples and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c041;Pineapples and products;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c042;Dates;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c043;Grapes and products (excl wine);tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c044;Fruits, Other;tonnes;Vegetables, fruit, nuts, pulses, spices;FALSE
c045;Coffee and products;tonnes;Coffee, tea, cocoa;FALSE
c046;Cocoa Beans and products;tonnes;Coffee, tea, cocoa;FALSE
c047;Tea (including mate);tonnes;Coffee, tea, cocoa;FALSE
